Numero di serie:	20937872 --

Data ora, GMT -10:00	Temp, (*C)	Intensità, (lux)	Pulsante Giù	Pulsante Su	Connetti host	EOF	
2022-06-19 18:06:44	24,92	2133,76	 	 	 	 	
2022-06-19 18:11:44	30,07	612,96	 	 	 	 	
2022-06-19 18:16:44	30,76	521,12	 	 	 	 	
2022-06-19 18:21:44	30,80	483,04	 	 	 	 	
2022-06-19 18:26:44	30,97	414,08	 	 	 	 	
2022-06-19 18:31:44	30,89	359,04	 	 	 	 	
2022-06-19 18:36:44	30,89	323,92	 	 	 	 	
2022-06-19 18:41:44	30,93	299,92	 	 	 	 	
2022-06-19 18:46:44	30,80	235,28	 	 	 	 	
2022-06-19 18:51:44	30,93	180,32	 	 	 	 	
2022-06-19 18:56:44	30,89	154,80	 	 	 	 	
2022-06-19 19:01:44	30,93	100,80	 	 	 	 	
2022-06-19 19:06:44	30,89	71,52	 	 	 	 	
2022-06-19 19:11:44	30,89	48,54	 	 	 	 	
2022-06-19 19:16:44	30,97	26,93	 	 	 	 	
2022-06-19 19:21:44	30,84	14,98	 	 	 	 	
2022-06-19 19:26:44	30,97	5,93	 	 	 	 	
2022-06-19 19:31:44	30,84	1,75	 	 	 	 	
2022-06-19 19:36:44	30,89	0,21	 	 	 	 	
2022-06-19 19:41:44	31,01	0,00	 	 	 	 	
2022-06-19 19:46:44	30,89	0,00	 	 	 	 	
2022-06-19 19:51:44	30,67	0,00	 	 	 	 	
2022-06-19 19:56:44	30,71	0,00	 	 	 	 	
2022-06-19 20:01:44	30,76	0,00	 	 	 	 	
2022-06-19 20:06:44	30,67	0,00	 	 	 	 	
2022-06-19 20:11:44	30,76	0,00	 	 	 	 	
2022-06-19 20:16:44	30,67	0,00	 	 	 	 	
2022-06-19 20:21:44	30,80	0,00	 	 	 	 	
2022-06-19 20:26:44	30,67	0,00	 	 	 	 	
2022-06-19 20:31:44	30,71	0,00	 	 	 	 	
2022-06-19 20:36:44	30,63	0,00	 	 	 	 	
2022-06-19 20:41:44	30,76	0,00	 	 	 	 	
2022-06-19 20:46:44	30,76	0,00	 	 	 	 	
2022-06-19 20:51:44	30,63	0,00	 	 	 	 	
2022-06-19 20:56:44	30,80	0,00	 	 	 	 	
2022-06-19 21:01:44	30,67	0,00	 	 	 	 	
2022-06-19 21:06:44	30,71	0,00	 	 	 	 	
2022-06-19 21:11:44	30,71	0,00	 	 	 	 	
2022-06-19 21:16:44	30,67	0,00	 	 	 	 	
2022-06-19 21:21:44	30,76	0,00	 	 	 	 	
2022-06-19 21:26:44	30,54	0,00	 	 	 	 	
2022-06-19 21:31:44	30,76	0,00	 	 	 	 	
2022-06-19 21:36:44	30,71	0,00	 	 	 	 	
2022-06-19 21:41:44	30,63	0,00	 	 	 	 	
2022-06-19 21:46:44	30,80	0,00	 	 	 	 	
2022-06-19 21:51:44	30,67	0,00	 	 	 	 	
2022-06-19 21:56:44	30,76	0,00	 	 	 	 	
2022-06-19 22:01:44	30,63	0,00	 	 	 	 	
2022-06-19 22:06:44	30,76	0,00	 	 	 	 	
2022-06-19 22:11:44	30,71	0,00	 	 	 	 	
2022-06-19 22:16:44	30,67	0,00	 	 	 	 	
2022-06-19 22:21:44	30,80	0,00	 	 	 	 	
2022-06-19 22:26:44	30,67	0,00	 	 	 	 	
2022-06-19 22:31:44	30,80	0,00	 	 	 	 	
2022-06-19 22:36:44	30,63	0,00	 	 	 	 	
2022-06-19 22:41:44	30,71	0,00	 	 	 	 	
2022-06-19 22:46:44	30,71	0,00	 	 	 	 	
2022-06-19 22:51:44	30,63	0,00	 	 	 	 	
2022-06-19 22:56:44	30,76	0,00	 	 	 	 	
2022-06-19 23:01:44	30,63	0,00	 	 	 	 	
2022-06-19 23:06:44	30,50	0,00	 	 	 	 	
2022-06-19 23:11:44	30,59	0,00	 	 	 	 	
2022-06-19 23:16:44	30,54	0,00	 	 	 	 	
2022-06-19 23:21:44	30,50	0,00	 	 	 	 	
2022-06-19 23:26:44	30,59	0,00	 	 	 	 	
2022-06-19 23:31:44	30,37	0,00	 	 	 	 	
2022-06-19 23:36:44	30,54	0,00	 	 	 	 	
2022-06-19 23:41:44	30,59	0,00	 	 	 	 	
2022-06-19 23:46:44	30,46	0,00	 	 	 	 	
2022-06-19 23:51:44	30,59	0,00	 	 	 	 	
2022-06-19 23:56:44	30,46	0,00	 	 	 	 	
2022-06-20 00:01:44	30,59	0,00	 	 	 	 	
2022-06-20 00:06:44	30,50	0,00	 	 	 	 	
2022-06-20 00:11:44	30,41	0,00	 	 	 	 	
2022-06-20 00:16:44	30,59	0,00	 	 	 	 	
2022-06-20 00:21:44	30,50	0,00	 	 	 	 	
2022-06-20 00:26:44	30,50	0,00	 	 	 	 	
2022-06-20 00:31:44	30,54	0,00	 	 	 	 	
2022-06-20 00:36:44	30,33	0,00	 	 	 	 	
2022-06-20 00:41:44	30,41	0,00	 	 	 	 	
2022-06-20 00:46:44	30,41	0,00	 	 	 	 	
2022-06-20 00:51:44	30,37	0,00	 	 	 	 	
2022-06-20 00:56:44	30,50	0,00	 	 	 	 	
2022-06-20 01:01:44	30,33	0,00	 	 	 	 	
