Numero di serie:	21002979 --

Data ora, GMT -10:00	Temp, (*C)	Intensità, (lux)	Pulsante Giù	Pulsante Su	Connetti host	EOF	
2022-06-19 18:12:06	25,14	3377,92	 	 	 	 	
2022-06-19 18:17:06	28,53	461,12	 	 	 	 	
2022-06-19 18:22:06	29,26	410,56	 	 	 	 	
2022-06-19 18:27:06	29,30	374,40	 	 	 	 	
2022-06-19 18:32:06	29,17	310,08	 	 	 	 	
2022-06-19 18:37:06	29,08	278,24	 	 	 	 	
2022-06-19 18:42:06	29,30	268,56	 	 	 	 	
2022-06-19 18:47:06	29,26	207,28	 	 	 	 	
2022-06-19 18:52:06	29,08	153,44	 	 	 	 	
2022-06-19 18:57:06	29,21	137,12	 	 	 	 	
2022-06-19 19:02:06	29,30	88,92	 	 	 	 	
2022-06-19 19:07:06	29,17	61,14	 	 	 	 	
2022-06-19 19:12:06	29,13	41,40	 	 	 	 	
2022-06-19 19:17:06	29,30	23,22	 	 	 	 	
2022-06-19 19:22:06	29,26	12,22	 	 	 	 	
2022-06-19 19:27:06	29,00	4,69	 	 	 	 	
2022-06-19 19:32:06	29,21	1,41	 	 	 	 	
2022-06-19 19:37:06	29,26	0,00	 	 	 	 	
2022-06-19 19:42:06	29,17	0,00	 	 	 	 	
2022-06-19 19:47:06	29,04	0,00	 	 	 	 	
2022-06-19 19:52:06	28,91	0,00	 	 	 	 	
2022-06-19 19:57:06	29,00	0,00	 	 	 	 	
2022-06-19 20:02:06	29,17	0,00	 	 	 	 	
2022-06-19 20:07:06	29,04	0,00	 	 	 	 	
2022-06-19 20:12:06	28,95	0,00	 	 	 	 	
2022-06-19 20:17:06	29,13	0,00	 	 	 	 	
2022-06-19 20:22:06	29,17	0,00	 	 	 	 	
2022-06-19 20:27:06	29,08	0,00	 	 	 	 	
2022-06-19 20:32:06	29,08	0,00	 	 	 	 	
2022-06-19 20:37:06	29,21	0,00	 	 	 	 	
2022-06-19 20:42:06	29,13	0,00	 	 	 	 	
2022-06-19 20:47:06	29,00	0,00	 	 	 	 	
2022-06-19 20:52:06	29,08	0,00	 	 	 	 	
2022-06-19 20:57:06	29,00	0,00	 	 	 	 	
2022-06-19 21:02:06	28,95	0,00	 	 	 	 	
2022-06-19 21:07:06	29,13	0,00	 	 	 	 	
2022-06-19 21:12:06	29,08	0,00	 	 	 	 	
2022-06-19 21:17:06	28,95	0,00	 	 	 	 	
2022-06-19 21:22:06	28,95	0,00	 	 	 	 	
2022-06-19 21:27:06	29,21	0,00	 	 	 	 	
2022-06-19 21:32:06	29,08	0,00	 	 	 	 	
2022-06-19 21:37:06	28,91	0,00	 	 	 	 	
2022-06-19 21:42:06	29,08	0,00	 	 	 	 	
2022-06-19 21:47:06	29,00	0,00	 	 	 	 	
2022-06-19 21:52:06	28,91	0,00	 	 	 	 	
2022-06-19 21:57:06	29,13	0,00	 	 	 	 	
2022-06-19 22:02:06	29,13	0,00	 	 	 	 	
2022-06-19 22:07:06	28,95	0,00	 	 	 	 	
2022-06-19 22:12:06	28,95	0,00	 	 	 	 	
2022-06-19 22:17:06	29,08	0,00	 	 	 	 	
2022-06-19 22:22:06	29,04	0,00	 	 	 	 	
2022-06-19 22:27:06	28,91	0,00	 	 	 	 	
2022-06-19 22:32:06	29,04	0,00	 	 	 	 	
2022-06-19 22:37:06	29,17	0,00	 	 	 	 	
2022-06-19 22:42:06	29,00	0,00	 	 	 	 	
2022-06-19 22:47:06	28,91	0,00	 	 	 	 	
2022-06-19 22:52:06	29,13	0,00	 	 	 	 	
2022-06-19 22:57:06	29,08	0,00	 	 	 	 	
2022-06-19 23:02:06	28,87	0,00	 	 	 	 	
2022-06-19 23:07:06	28,83	0,00	 	 	 	 	
2022-06-19 23:12:06	28,83	0,00	 	 	 	 	
2022-06-19 23:17:06	29,00	0,00	 	 	 	 	
2022-06-19 23:22:06	28,87	0,00	 	 	 	 	
2022-06-19 23:27:06	28,78	0,00	 	 	 	 	
2022-06-19 23:32:06	28,95	0,00	 	 	 	 	
2022-06-19 23:37:06	28,91	0,00	 	 	 	 	
2022-06-19 23:42:06	28,78	0,00	 	 	 	 	
2022-06-19 23:47:06	28,95	0,00	 	 	 	 	
2022-06-19 23:52:06	29,00	0,00	 	 	 	 	
2022-06-19 23:57:06	28,87	0,00	 	 	 	 	
2022-06-20 00:02:06	28,74	0,00	 	 	 	 	
2022-06-20 00:07:06	29,00	0,00	 	 	 	 	
2022-06-20 00:12:06	28,95	0,00	 	 	 	 	
2022-06-20 00:17:06	28,74	0,00	 	 	 	 	
2022-06-20 00:22:06	28,95	0,00	 	 	 	 	
2022-06-20 00:27:06	29,04	0,00	 	 	 	 	
2022-06-20 00:32:06	28,87	0,00	 	 	 	 	
2022-06-20 00:37:06	28,74	0,00	 	 	 	 	
2022-06-20 00:42:06	28,95	0,00	 	 	 	 	
2022-06-20 00:47:06	29,04	0,00	 	 	 	 	
2022-06-20 00:52:06	28,87	0,00	 	 	 	 	
2022-06-20 00:57:06	28,74	0,00	 	 	 	 	
2022-06-20 01:02:06	29,04	0,00	 	 	 	 	
2022-06-20 01:07:06	29,00	0,00	 	 	 	 	
2022-06-20 01:12:06	28,83	0,00	 	 	 	 	
2022-06-20 01:17:06	28,70	0,00	 	 	 	 	
2022-06-20 01:22:06	28,91	0,00	 	 	 	 	
2022-06-20 01:27:06	28,91	0,00	 	 	 	 	
2022-06-20 01:32:06	28,78	0,00	 	 	 	 	
2022-06-20 01:37:06	28,78	0,00	 	 	 	 	
2022-06-20 01:42:06	29,00	0,00	 	 	 	 	
2022-06-20 01:47:06	28,83	0,00	 	 	 	 	
2022-06-20 01:52:06	28,70	0,00	 	 	 	 	
2022-06-20 01:57:06	28,91	0,00	 	 	 	 	
2022-06-20 02:02:06	29,00	0,00	 	 	 	 	
2022-06-20 02:07:06	28,83	0,00	 	 	 	 	
2022-06-20 02:12:06	28,70	0,00	 	 	 	 	
2022-06-20 02:17:06	28,57	0,00	 	 	 	 	
2022-06-20 02:22:06	28,53	0,00	 	 	 	 	
2022-06-20 02:27:06	28,74	0,00	 	 	 	 	
2022-06-20 02:32:06	28,65	0,00	 	 	 	 	
2022-06-20 02:37:06	28,53	0,00	 	 	 	 	
2022-06-20 02:42:06	28,53	0,00	 	 	 	 	
2022-06-20 02:47:06	28,74	0,00	 	 	 	 	
2022-06-20 02:52:06	28,65	0,00	 	 	 	 	
2022-06-20 02:57:06	28,53	0,00	 	 	 	 	
2022-06-20 03:02:06	28,61	0,00	 	 	 	 	
2022-06-20 03:07:06	28,70	0,00	 	 	 	 	
2022-06-20 03:12:06	28,57	0,00	 	 	 	 	
2022-06-20 03:17:06	28,44	0,00	 	 	 	 	
2022-06-20 03:22:06	28,65	0,00	 	 	 	 	
2022-06-20 03:27:06	28,65	0,00	 	 	 	 	
2022-06-20 03:32:06	28,57	0,00	 	 	 	 	
2022-06-20 03:37:06	28,44	0,00	 	 	 	 	
2022-06-20 03:42:06	28,44	0,00	 	 	 	 	
2022-06-20 03:47:06	28,65	0,00	 	 	 	 	
2022-06-20 03:52:06	28,65	0,00	 	 	 	 	
2022-06-20 03:57:06	28,53	0,00	 	 	 	 	
2022-06-20 04:02:06	28,40	0,00	 	 	 	 	
2022-06-20 04:07:06	28,53	0,00	 	 	 	 	
2022-06-20 04:12:06	28,74	0,00	 	 	 	 	
2022-06-20 04:17:06	28,57	0,00	 	 	 	 	
2022-06-20 04:22:06	28,48	0,00	 	 	 	 	
2022-06-20 04:27:06	28,53	0,00	 	 	 	 	
2022-06-20 04:32:06	28,65	0,00	 	 	 	 	
2022-06-20 04:37:06	28,57	0,00	 	 	 	 	
2022-06-20 04:42:06	28,40	0,00	 	 	 	 	
